artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
James Arthur,Say You Won't Let Go,0.557,0.358,-7.398,0.695,0.059,0.0902,0.494,85.043,211467
Normani,Wild Side (feat. Cardi B),0.576,0.74,-6.744,0.0249,0.146,0.104,0.315,110.095,209476
Pop Smoke,Bout A Million (feat. 42 Dugg & 21 Savage),0.67,0.716,-6.995,0.526,0.101,0.13,0.411,145.043,203586
Pop Smoke,Demeanor (feat. Dua Lipa),0.608,0.675,-6.934,0.336,0.103,0.11,0.728,99.865,184800
"Powfu, beabadoobee",death bed (coffee for your head),0.431,0.726,-8.765,0.731,0.135,0.696,0.348,144.026,173333
"Anne-Marie, Niall Horan",Our Song,0.759,0.595,-4.245,0.141,0.0423,0.172,0.515,80.953,163733
Queen,Another One Bites The Dust - Remastered 2011,0.528,0.933,-6.472,0.112,0.162,0.163,0.756,109.975,214653
"Drake, WizKid, Kyla",One Dance,0.625,0.792,-5.609,0.00776,0.0536,0.329,0.37,103.967,173987
Harry Styles,Adore You,0.771,0.676,-3.675,0.0237,0.0483,0.102,0.569,99.048,207133
Sarah Cothran,As the World Caves In,0.25,0.422,-6.836,0.441,0.0351,0.35,0.246,124.026,161613
Walker Hayes,Fancy Like,0.76,0.649,-6.487,0.114,0.0574,0.317,0.843,80.018,161853
Rauw Alejandro,Cúrame,0.625,0.765,-3.599,0.584,0.0548,0.112,0.262,102.101,164706
John Legend,All of Me,0.264,0.422,-7.064,0.922,0.0322,0.132,0.331,119.93,269560
Polo G,Martin & Gina,0.534,0.832,-7.813,0.345,0.253,0.165,0.116,93.924,132833
Pop Smoke,Dior,0.805,0.548,-5.732,0.212,0.351,0.408,0.648,142.094,216387
Saweetie,Best Friend (feat. Doja Cat),0.766,0.84,-4.12,0.00302,0.136,0.0684,0.402,94.018,155884
The Weeknd,The Hills,0.564,0.585,-7.063,0.0671,0.0515,0.135,0.137,113.003,242253
SZA,Good Days,0.655,0.436,-8.37,0.499,0.0583,0.688,0.412,121.002,279204
"Anne-Marie, Little Mix",Kiss My (Uh Oh),0.878,0.638,-3.639,0.0151,0.0484,0.308,0.481,103.948,176800
Bad Bunny,De Museo,0.494,0.592,-10.618,0.237,0.0747,0.13,0.231,132.037,209771
Ariana Grande,7 rings,0.317,0.778,-10.732,0.592,0.334,0.0881,0.327,140.048,178627
"Blxst, Tyga",Chosen (feat. Ty Dolla $ign),0.767,0.571,-5.16,0.336,0.287,0.0809,0.605,93.421,161684
"MC Zaquin, MC Rick",Não Nasceu pra Namorar,0.448,0.525,-4.075,0.14,0.0443,0.0922,0.527,83.406,140308
"Topic, A7S",Breaking Me,0.72,0.789,-5.652,0.223,0.218,0.129,0.664,122.031,166794
Luísa Sonza,penhasco.,0.467,0.43,-8.56,0.775,0.051,0.0933,0.382,77.249,186121
Roddy Ricch,Late At Night,0.403,0.643,-11.254,0.343,0.41,0.138,0.111,98.54,174682
Dave,Verdansk,0.502,0.961,-8.605,0.28,0.312,0.145,0.536,117.078,182285
Eminem,The Real Slim Shady,0.661,0.949,-4.244,0.0302,0.0572,0.0454,0.76,104.504,284200
Pop Smoke,Tell The Vision (feat. Kanye West & Pusha T),0.686,0.662,-8.302,0.251,0.332,0.349,0.678,143.971,215000
Pop Smoke,Woo Baby (feat. Chris Brown),0.672,0.563,-7.226,0.359,0.0765,0.0972,0.284,99.772,156000
"Trippie Redd, Lil Uzi Vert",Holy Smokes,0.527,0.437,-6.967,0.185,0.465,0.153,0.701,187.815,181714
Pop Smoke,More Time,0.581,0.628,-8.377,0.46,0.188,0.152,0.259,145.396,120828
Pop Smoke,Coupe,0.589,0.912,-7.476,0.0332,0.2,0.0795,0.486,135.921,123549
KSI,Holiday,0.684,0.356,-7.347,0.152,0.0878,0.101,0.347,87.188,193733
Pop Smoke,Manslaughter (feat. Rick Ross & The-Dream),0.623,0.441,-7.331,0.135,0.0414,0.14,0.285,78.082,249231
Pop Smoke,Genius (feat. Lil Tjay & Swae Lee),0.667,0.723,-7.524,0.256,0.351,0.261,0.396,143.044,208112
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),0.653,0.493,-5.666,0.269,0.0466,0.511,0.852,142.347,121573
Pashanim,Sommergewitter,0.531,0.787,-10.569,0.132,0.101,0.112,0.721,91.996,138533
"Tion Wayne, Russ Millions","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",0.674,0.883,-8.043,0.21,0.357,0.0678,0.73,141.02,278085
Pop Smoke,Brush Em (feat. Rah Swish),0.724,0.654,-6.59,0.106,0.355,0.655,0.717,71.696,150449
"Nio Garcia, Flow La Movie",AM,0.517,0.83,-6.416,0.399,0.333,0.0916,0.616,171.959,182496
"BLANCO, Sfera Ebbasta",MI FAI IMPAZZIRE,0.844,0.477,-4.87,0.00273,0.0458,0.137,0.203,169.941,220235
Regard,Ride It,0.751,0.88,-4.258,0.177,0.0874,0.106,0.884,117.948,157606
Billie Eilish,Lost Cause,0.336,0.671,-8.494,0.705,0.241,0.0577,0.518,75.051,212496
John Mayer,Shot in the Dark,0.556,0.741,-9.184,0.0629,0.0266,0.103,0.587,122.008,249080
Imagine Dragons,Wrecked,0.56,0.626,-5.82,0.148,0.0288,0.109,0.229,93.989,244005
"Mc Davi, Mc Pedrinho, Mc Don Juan",Bipolar,0.36,0.601,-7.791,0.586,0.0877,0.0882,0.335,124.993,276480
Internet Money,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",0.707,0.792,-5.218,0.116,0.0623,0.12,0.408,134.997,224042
Imagine Dragons,Follow You,0.732,0.542,-5.956,0.00209,0.0521,0.496,0.489,124.912,175644
Dua Lipa,We're Good,0.588,0.722,-5.932,0.0319,0.0544,0.183,0.59,134.01,165507
BTS,Life Goes On,0.716,0.566,-5.733,0.00691,0.0424,0.37,0.45,81.068,207481
Sech,911,0.71,0.816,-3.728,0.165,0.0398,0.292,0.784,93.02,208631
Selena Gomez,Baila Conmigo (with Rauw Alejandro),0.544,0.823,-7.132,0.0215,0.0715,0.0966,0.664,149.903,186088
Bas,The Jackie (with J. Cole & Lil Tjay),0.474,0.784,-6.139,0.333,0.0524,0.278,0.64,128.012,204434
Olivia Rodrigo,hope ur ok,0.298,0.443,-12.181,0.388,0.0644,0.103,0.172,77.253,209560
"Israel & Rodolffo, Wesley Safadão",Faz Amor Comigo Só Hoje - Ao Vivo,0.922,0.624,-4.628,0.3,0.0439,0.112,0.884,164.819,148228
TWICE,Alcohol-Free,0.909,0.688,-1.992,0.0474,0.0624,0.0674,0.702,97.097,210573
BIA,WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,0.463,0.893,-5.301,0.199,0.36,0.318,0.591,81.026,229601
"Kane Brown, blackbear",Memory,0.889,0.434,-5.684,0.395,0.0509,0.273,0.845,113.326,153338
"Alex Rose, Rauw Alejandro",Me Fije,0.674,0.76,-4.039,0.396,0.0636,0.0977,0.735,172.024,202307
"Dj Guuga, DJ Ivis","Volta Bebê, Volta Neném",0.918,0.583,-3.612,0.288,0.0518,0.0701,0.836,164.081,172973
"Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell",Aloha,0.712,0.807,-5.757,0.532,0.1,0.163,0.792,100.004,241659
Rauw Alejandro,Sexo Virtual,0.739,0.704,-3.286,0.328,0.112,0.0856,0.425,179.879,208292
"The Chainsmokers, Halsey",Closer,0.524,0.748,-5.599,0.414,0.0338,0.111,0.661,95.01,244960
Oasis,Wonderwall - Remastered,0.893,0.375,-4.097,0.000509,0.0406,0.187,0.434,174.323,258773
Brent Faiyaz,Wasting Time ( feat. Drake ),0.717,0.652,-3.751,0.0694,0.0581,0.0906,0.377,89.982,301304
Doja Cat,I Don't Do Drugs (feat. Ariana Grande),0.615,0.683,-5.737,0.222,0.0966,0.154,0.45,77.014,188893
Big Red Machine,Renegade (feat. Taylor Swift),0.708,0.532,-8.121,0.435,0.0505,0.107,0.586,167.977,254467
