artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Maroon 5,Sunday Morning,0.768,0.608,-5.227,0.0913,0.0475,0.0629,0.809,88.059,244.88
Coldplay,In My Place,0.588,0.424,-5.455,0.0553,0.0278,0.298,0.193,144.636,226.68
Justin Timberlake,Cry Me a River,0.654,0.624,-6.582,0.577,0.183,0.104,0.564,73.898,288.33
Robbie Williams,Feel,0.732,0.599,-6.843,0.0145,0.026,0.143,0.295,97.997,263.87
Foo Fighters,All My Life,0.604,0.577,-5.703,0.000218,0.0495,0.477,0.637,167.719,263.44
David Bisbal,Dígale,0.474,0.57,-6.809,0.595,0.0296,0.143,0.299,130.103,262.44
Ricardo Arjona,El Problema,0.714,0.626,-3.824,0.507,0.0259,0.101,0.484,99.907,330.37
Aventura,Enseñame a Olvidar,0.491,0.781,-8.793,0.471,0.0444,0.0972,0.913,124.971,348.83
Creed,My Sacrifice,0.88,0.32,-6.035,0.000101,0.0504,0.076,0.257,146.349,294.6
Maroon 5,She Will Be Loved,0.713,0.706,-5.512,0.0596,0.0301,0.132,0.544,102.037,257.13
Foo Fighters,Times Like These,0.908,0.376,-3.793,1.4e-05,0.0879,0.241,0.266,144.581,265.56
Norah Jones,Turn Me On,0.18,0.429,-10.694,0.864,0.0551,0.104,0.485,170.645,154.8
P!nk,Just Like a Pill,0.774,0.689,-4.528,8.72e-05,0.0278,0.0941,0.25,102.054,236.6
Queens of the Stone Age,No One Knows,0.588,0.507,-4.881,0.0359,0.0641,0.373,0.637,170.889,278.71
Westlife,World of Our Own,0.765,0.707,-4.636,0.0163,0.0341,0.0627,0.923,97.005,211.41
The Coral,Dreaming of You,0.684,0.441,-7.495,0.374,0.031,0.108,0.971,199.001,141.0
Oasis,Stop Crying Your Heart Out,0.558,0.331,-5.506,0.0689,0.031,0.124,0.0985,150.19,303.12
Interpol,Obstacle 1,0.938,0.377,-4.9,5.18e-05,0.0618,0.0705,0.385,120.514,251.29
Maroon 5,This Love,0.862,0.712,-4.612,0.0525,0.0378,0.093,0.809,95.051,206.2
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,0.97,0.597,-5.972,0.000385,0.0502,0.133,0.717,114.999,211.51
Extremoduro,La vereda de la puerta de atrás,0.893,0.403,-2.735,0.437,0.0474,0.11,0.527,141.194,243.32
Maná,Mariposa Traicionera,0.794,0.773,-4.954,0.527,0.0326,0.113,0.907,101.143,264.6
P!nk,Don't Let Me Get Me - Radio Edit,0.85,0.624,-4.754,0.00234,0.0756,0.0621,0.615,98.525,210.69
Céline Dion,A New Day Has Come - Radio Remix,0.691,0.574,-5.103,0.0826,0.035,0.149,0.195,91.969,259.77
Diana Krall,Just The Way You Are,0.348,0.54,-10.641,0.804,0.0339,0.11,0.456,135.73,300.52
David Bisbal,Ave María,0.93,0.734,-4.475,0.136,0.0763,0.316,0.797,132.03,209.95
Bunbury,Lady Blue,0.539,0.546,-5.613,0.123,0.0267,0.231,0.447,104.029,329.67
Maná,Eres Mi Religión,0.813,0.629,-5.583,0.188,0.0351,0.0753,0.726,92.154,327.6
Las Ketchup,The Ketchup Song (Aserejé) - Spanish Version,0.947,0.602,-5.642,0.00842,0.115,0.123,0.883,184.976,213.0
Extremoduro,Stand By,0.629,0.466,-4.684,0.279,0.0421,0.141,0.396,132.663,207.99
Junior Senior,Move Your Feet,0.895,0.755,-2.619,0.0507,0.0883,0.222,0.844,118.871,181.91
Bruce Springsteen,Waitin' On A Sunny Day,0.82,0.584,-5.228,0.0116,0.0271,0.0991,0.869,106.055,256.13
Wilco,"Jesus, Etc.",0.28,0.756,-14.27,0.616,0.0296,0.414,0.695,109.413,231.0
Marilyn Manson,Tainted Love,0.95,0.637,-4.4,0.00104,0.109,0.288,0.511,142.018,200.07
