artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Tiësto,The Business,0.62,0.798,-7.079,0.414,0.232,0.112,0.235,120.031,164000
NLE Choppa,Do It Again (feat. 2Rare),0.64,0.806,-7.398,0.0864,0.317,0.201,0.716,160.054,213206
Ofenbach,Love Me Now (feat. FAST BOY),0.832,0.651,-4.29,0.081,0.0388,0.312,0.426,122.016,152582
Louis Tomlinson,Silver Tongues,0.822,0.492,-4.892,0.0101,0.0647,0.0793,0.409,159.991,205187
Rihanna,Born Again,0.26,0.465,-8.179,0.475,0.031,0.138,0.259,116.642,213333
Nicki Minaj,Super Freaky Girl,0.891,0.95,-2.653,0.0645,0.241,0.309,0.912,133.01,170977
d4vd,Romantic Homicide,0.544,0.571,-10.613,0.453,0.0299,0.322,0.216,132.052,132631
Meric,what about your boyfriend?,0.675,0.776,-8.638,0.0969,0.173,0.216,0.236,139.911,160286
Meghan Trainor,Made You Look,0.525,0.838,-3.562,0.345,0.0665,0.0771,0.884,144.981,134256
RIELL,Burn Our Bridges Down,0.53,0.636,-5.629,0.392,0.0351,0.113,0.177,117.983,213993
Drake,Pussy & Millions (feat. Travis Scott),0.63,0.749,-6.652,0.0623,0.116,0.353,0.445,122.03,242027
AViVA,FAKE,0.582,0.503,-7.179,0.18,0.0663,0.131,0.0763,120.333,136000
Rema,Calm Down (with Selena Gomez),0.806,0.801,-5.206,0.382,0.0381,0.114,0.802,106.999,239318
Drake,Rich Flex,0.52,0.561,-9.342,0.0503,0.244,0.355,0.424,153.15,239360
Meric,Feel the Healing,0.954,0.605,-3.448,0.0454,0.212,0.229,0.438,138.025,135652
Taylor Swift,Midnight Rain,0.363,0.643,-11.738,0.69,0.0767,0.115,0.23,139.865,174783
Lil Yachty,Poland,0.555,0.695,-8.5,0.141,0.0509,0.11,0.26,150.024,83200
Johnning,Bad Blood,0.691,0.699,-8.034,0.436,0.0571,0.0792,0.6,120.069,155146
Arc North,Better,0.748,0.491,-5.728,0.153,0.0721,0.278,0.295,139.933,156857
southstar,Miss You,0.559,0.663,-12.876,0.136,0.0391,0.108,0.296,145.007,206385
Johnning,Band Aid,0.777,0.639,-6.995,0.0206,0.0492,0.0933,0.86,159.998,196764
Rosa Linn,SNAP,0.639,0.563,-8.205,0.107,0.0684,0.446,0.518,169.985,179551
Drama B,Ready Or Not,0.804,0.578,-7.448,0.354,0.218,0.111,0.158,105.049,142286
BLACKPINK,Pink Venom,0.697,0.798,-7.139,0.0202,0.0891,0.259,0.745,90.031,186964
Meric,Love Me Faster,0.977,0.674,-4.984,0.0718,0.132,0.108,0.506,138.04,135652
Nicky Youre,Sunroof,0.716,0.768,-5.11,0.35,0.0404,0.15,0.841,131.43,163026
Elton John,Hold Me Closer,0.75,0.667,-4.602,0.0746,0.0906,0.197,0.486,126.041,202246
benny blanco,Bad Decisions (with BTS & Snoop Dogg),0.861,0.762,-3.296,0.0185,0.0955,0.264,0.955,120.048,172714
Kaila Hoy,Toxic,0.528,0.43,-7.321,0.323,0.0887,0.428,0.151,139.266,204043
Marshmello,Bye Bye,0.525,0.645,-5.399,0.0574,0.0355,0.505,0.238,83.018,108499
Kate Bush,Running Up That Hill (A Deal With God),0.547,0.629,-13.123,0.72,0.055,0.0604,0.197,108.375,298933
Meric,Over Me,0.656,0.633,-8.274,0.335,0.0474,0.112,0.143,138.053,208696
Post Malone,I Like You (A Happier Song) (with Doja Cat),0.67,0.733,-6.009,0.121,0.0751,0.121,0.472,100.964,192841
Ghost,Mary On A Cross,0.9,0.466,-4.469,0.000235,0.0447,0.103,0.561,130.02,244804
Besomorph,In My Dreams,0.743,0.572,-6.713,0.03,0.0982,0.093,0.343,129.984,171692
BRAN,Too Late,0.664,0.526,-11.902,0.557,0.162,0.494,0.132,123.948,127742
Yung Gravy,Betty (Get Money),0.772,0.723,-6.784,0.00524,0.0792,0.367,0.58,102.004,146471
Besomorph,Lost Myself To You,0.511,0.634,-10.843,0.403,0.0703,0.159,0.24,119.989,148500
Beyoncé,BREAK MY SOUL,0.887,0.687,-5.04,0.0575,0.0826,0.27,0.853,114.941,278282
WILLOW,Wait a Minute!,0.705,0.764,-5.279,0.0371,0.0278,0.0943,0.672,101.003,196520
3409,Criss Cross,0.75,0.72,-2.731,0.098,0.0495,0.0931,0.731,85.001,173647
Besomorph,When Angels Lie,0.609,0.549,-8.613,0.54,0.0927,0.193,0.295,119.967,150500
JVKE,golden hour,0.594,0.511,-4.799,0.651,0.0316,0.249,0.143,94.473,209260
Arc North,Broken Roads,0.826,0.576,-4.935,0.276,0.0633,0.445,0.669,88.046,182727
Benson Boone,In The Stars,0.54,0.362,-6.031,0.338,0.0528,0.139,0.3,78.007,216410
IVE,After LIKE,0.922,0.68,-1.215,0.103,0.121,0.0877,0.799,125.014,176973
Meric,if I was YOU,0.824,0.686,-6.41,0.228,0.0607,0.316,0.899,149.966,144000
Armani White,BILLIE EILISH.,0.509,0.9,-6.647,0.115,0.257,0.0937,0.765,100.007,99283
Charlie Puth,Light Switch,0.626,0.69,-5.693,0.105,0.306,0.0881,0.912,184.009,185681
Besomorph,So Low,0.576,0.501,-9.882,0.434,0.0728,0.118,0.713,180.175,123333
Meric,When Will I,0.956,0.457,-4.388,0.00443,0.0982,0.129,0.532,175.843,239318
Latto,Big Energy,0.793,0.937,-4.431,0.0453,0.115,0.341,0.794,106.022,172540
Billie Eilish,TV,0.236,0.412,-15.159,0.83,0.0379,0.147,0.119,140.214,281381
RIELL,End It,0.745,0.693,-5.959,0.0872,0.188,0.148,0.663,150.06,196010
Becky Hill,Remember - Acoustic / Sped Up,0.525,0.602,-6.765,0.81,0.0504,0.0943,0.548,136.932,154147
Troye Sivan,Angel Baby,0.559,0.559,-6.425,0.0145,0.0358,0.138,0.338,72.498,220780
Meric,Sensation,0.88,0.613,-4.135,0.0237,0.0338,0.312,0.599,119.991,152375
Imanbek,Belly Dancer,0.797,0.845,-4.984,0.0582,0.139,0.167,0.422,121.985,151475
Megan Thee Stallion,Sweetest Pie,0.628,0.814,-7.178,0.167,0.221,0.101,0.677,123.977,201334
Johnning,Said and Done,0.872,0.498,-6.744,0.14,0.0977,0.103,0.553,170.056,174185
