artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,top_hit
Xmayne,Internet,0.647,0.789,-5.808,0.0226,0.0721,0.111,0.463,159.93,155.98,0
Kevin Dubrow,Welcome To The Jungle,0.912,0.331,-7.239,1.91e-05,0.0681,0.115,0.569,123.503,271.84,0
Lofi Swole Beats,Lay Back,0.206,0.751,-30.458,0.913,0.103,0.206,0.642,140.002,123.48,0
Mahtie Bush,At the Hotel,0.46,0.844,-10.043,0.875,0.152,0.146,0.493,94.665,192.65,0
Finestyle,Cannabis,0.314,0.769,-12.367,0.000793,0.0688,0.147,0.435,144.037,120.5,0
Lightshow,Who I Lean On,0.809,0.75,-5.181,0.00216,0.0966,0.151,0.224,146.012,170.76,0
Simon and the Astronauts,10 League Boots,0.772,0.533,-7.516,0.0354,0.0357,0.139,0.682,160.036,207.97,0
Skyler Ochoa,Dramatic Wisecrack,0.164,0.671,-19.815,0.946,0.0473,0.094,0.523,84.032,205.71,0
Xxxsolitario,Anime,0.498,0.725,-7.054,0.233,0.239,0.113,0.618,91.964,215.33,0
Culture Cutters,Cutting Through the Tape,0.169,0.203,-15.108,0.876,0.0345,0.0916,0.233,66.748,167.73,0
Paulina Rubio,Sola,0.876,0.613,-8.267,0.0532,0.0372,0.314,0.944,154.055,317.53,0
Eldest Son,When is it?,0.657,0.621,-10.42,0.000682,0.0304,0.293,0.815,119.994,155.54,0
Tsar Kangroo,My Pet Cat Ate the Last Brownie,0.803,0.363,-8.45,0.706,0.0503,0.312,0.519,121.365,48.78,0
Dj Samuell King,Arpa de Angel,0.361,0.739,-14.024,0.756,0.0538,0.12,0.572,127.987,97.4,0
Keith Sweat,Twisted,0.514,0.615,-9.759,0.393,0.0466,0.248,0.822,175.849,260.67,0
Divine KaHiL,Detox The Soul - Original Mix,0.135,0.175,-22.53,0.57,0.0421,0.111,0.0315,87.176,229.27,0
TG,Inside Of Me,0.603,0.752,-8.368,0.0083,0.13,0.243,0.253,127.98,182.0,0
The People Brothers Band,Letters,0.625,0.789,-8.549,0.347,0.0319,0.0765,0.961,120.135,220.59,0
K Pill,STK Pt. 1 - Remastered,0.782,0.935,-9.379,0.0315,0.334,0.148,0.72,134.053,179.87,0
DJ Michael Douglas,Getting Paid - Slowed & Reverb,0.497,0.423,-14.391,0.347,0.321,0.319,0.452,113.569,287.03,0
Carmelyn Kinsey,His Praise,0.25,0.545,-14.786,0.2,0.0271,0.31,0.298,94.841,262.52,0
The Cure,Six Different Ways,0.725,0.778,-9.925,0.0255,0.0426,0.0341,0.715,91.233,198.51,0
Study Help,Chill,0.0542,0.389,-20.641,0.987,0.0391,0.115,0.237,73.033,125.25,0
Bob Fine,Foxy Dancing,0.541,0.5,-7.721,0.58,0.0274,0.146,0.614,109.918,181.48,0
Former Informer,Monotonous Looping Thorns,0.417,0.319,-6.998,0.000119,0.037,0.502,0.847,128.733,67.97,0
Lil Raff,All I Know Screwed,0.416,0.817,-18.287,0.164,0.643,0.316,0.697,144.041,299.93,0
Swift Keys,PainKillas,0.461,0.538,-11.47,0.173,0.209,0.0837,0.0855,79.502,192.29,0
Krazy K 503,Cloud And The Moon - Pumpkinhead Remix,0.541,0.818,-5.81,0.0992,0.359,0.0657,0.397,160.025,242.21,0
Faye Adams,Love Ain't Nothin' to Play With,0.374,0.604,-9.303,0.773,0.0587,0.251,0.738,140.643,150.82,0
MadMisaki,Under a Plagued Moon,0.816,0.504,-11.866,0.000188,0.034,0.745,0.869,99.997,256.64,0
Dub 7,Life's a Bitch,0.531,0.709,-8.551,0.231,0.0836,0.177,0.201,174.99,288.02,0
Buried Alive,Our Time Is At Hand,0.952,0.321,-3.38,4.89e-05,0.0596,0.0862,0.346,94.43,178.96,0
Michael Schenker,Shoot Shoot,0.961,0.207,-4.662,0.0012,0.0719,0.949,0.146,147.834,226.85,0
Whiskey Child,Whiskey Child,0.382,0.724,-19.444,0.444,0.057,0.143,0.549,119.987,187.58,0
Baha'a,Ma Tedri,0.857,0.692,-4.5,0.0658,0.0277,0.055,0.633,112.028,265.95,0
Big Idol,Lambada - Radio Version,0.952,0.694,-3.576,0.00024,0.0695,0.0855,0.821,118.962,206.7,0
King D Mr. Perfect,No Lie Freestyle,0.697,0.645,-8.863,0.489,0.0645,0.097,0.686,100.021,213.63,0
Lil Ty,Back 2 Back,0.425,0.721,-12.161,0.021,0.374,0.245,0.231,145.013,106.0,0
Ruff Maab,Not a Sport Fast,0.568,0.938,-19.851,0.0265,0.549,0.037,0.876,110.608,126.9,0
Papa Duck,Dope Boy,0.571,0.79,-7.789,0.286,0.255,0.15,0.38,92.527,259.5,0
Jquintana el Imparable,Me Siento Bien,0.598,0.658,-9.798,0.572,0.177,0.686,0.669,170.035,205.61,0
The Mother Hips,Toughie,0.835,0.524,-5.056,0.035,0.0326,0.129,0.93,144.976,204.01,0
Ethan Charles,New Devotion,0.0658,0.423,-22.124,0.889,0.0921,0.238,0.209,176.312,216.97,0
Humble Pie,C'mon Everybody,0.647,0.415,-12.752,0.0819,0.0446,0.124,0.449,119.164,314.13,0
Rick & Bubba,Mexican Slogans,0.363,0.617,-11.802,0.771,0.958,0.0877,0.59,60.078,577.0,0
The Cardinal Health,Your Monster,0.802,0.458,-3.839,0.00955,0.0337,0.168,0.363,126.079,246.52,0
Enrique Jorrin Y Su Orquesta,La Blusa Azul,0.505,0.702,-8.256,0.0468,0.0517,0.0835,0.786,131.121,172.97,0
Pop Evil,Hero,0.741,0.372,-2.612,0.00438,0.0417,0.092,0.536,172.142,211.65,0
trenchbaby zayo,Trap Addict,0.749,0.92,-6.711,0.0682,0.314,0.1,0.677,107.015,102.09,0
Native American Flute,Whale Song,0.0294,0.388,-29.323,0.992,0.0919,0.0756,0.203,73.099,91.4,0
Cannaboy,Girls Girls - Remix,0.748,0.758,-5.69,0.0587,0.104,0.0936,0.6,75.984,180.0,0
